timestamp,session_id,source,agent_file,model,effort,input_tokens,cache_creation_tokens,cache_5m_tokens,cache_1h_tokens,cache_read_tokens,output_tokens,output_tokens_recorded,output_estimated,thinking_tokens,context_tokens,est_cost_usd,stop_reason,usage_final,records,tools,text_chars,content_chars,git_branch,cwd,message_id,request_id
2026-09-23T18:09:52.556Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,9265,0,9265,27209,466,466,False,324,36476,0.08889,tool_use,True,2,Bash,0,170,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLpWsxLkc1qKdUQ7Ef6C,req_011CfLpWsUp3Wf9N8MH6JiNm
2026-09-23T18:09:58.254Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,2520,0,2520,36474,441,441,False,0,38996,0.036283,tool_use,True,2,Bash|Read,0,759,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLpXN3HYotUbukxk7RWM,req_011CfLpXMaFw3ZEYnFnY1d4a
2026-09-23T18:10:07.509Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,29249,0,29249,38994,2283,2283,False,552,68245,0.287459,tool_use,True,2,Write,0,4008,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLpXhiDx5t3dYzCWTm9R,req_011CfLpXgZmNwfA36ETcsZuG
2026-09-23T18:10:23.453Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,2370,0,2370,68243,82,82,False,0,70615,0.034257,tool_use,True,1,ToolSearch,0,50,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLpZMNQVm4a7a8PPrt14,req_011CfLpZLpBdUKG5xcZXS7rc
2026-09-23T18:10:30.986Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1012,0,1012,70613,1228,1228,False,45,71627,0.046787,end_turn,True,2,,3064,3064,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLpZUBBnuTsoNVMZRZp4,req_011CfLpZTgBKEZwhAAzTzJdJ
2026-09-23T18:20:27.395Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,48,0,48,72853,608,608,False,143,72903,0.027123,tool_use,True,2,Bash,0,826,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLqKnKpFz4D6pBwzru1P,req_011CfLqKm1SzbcG5m5jTAGeK
2026-09-23T18:20:40.951Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1448,0,1448,72901,708,708,False,470,74351,0.040332,tool_use,True,2,Bash,0,314,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLqLbUzBha7p5rxfffHR,req_011CfLqLaxVFyDTm13he35wk
2026-09-23T18:20:45.953Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1057,0,1057,74349,398,398,False,143,75408,0.031294,tool_use,True,3,Bash|Bash,0,268,master,/Users/tmov/repos/cryoport/tictactoe/backend,msg_011CfLqMAfXD16dRLgtz6Jsi,req_011CfLqMAAkVeovEHj7nLKLM
2026-09-23T18:20:50.897Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,860,0,860,75406,166,166,False,19,76268,0.025289,tool_use,True,2,Bash,0,177,master,/Users/tmov/repos/cryoport/tictactoe/backend,msg_011CfLqMaeu7f92aSxGrpW7i,req_011CfLqMaF6zrX6xaVPrqsAW
2026-09-23T18:21:09.006Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1016,0,1016,76266,373,373,False,165,77284,0.030849,tool_use,True,3,Bash,87,311,master,/Users/tmov/repos/cryoport/tictactoe/backend,msg_011CfLqNrYenuENprg5aTe4C,req_011CfLqNq6quJg1m3UiHrCb9
2026-09-23T18:21:38.263Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1488,0,1488,77282,535,535,False,0,78772,0.038068,tool_use,True,2,Bash,44,798,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqR8H1395yJU2B1euJL,req_011CfLqR7rDHTtW9UAfu4yxu
2026-09-23T18:21:47.699Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1563,0,1563,78770,737,737,False,143,80335,0.043006,tool_use,True,3,Bash,120,1057,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqRhK7mLH4YMA8n5jHF,req_011CfLqRgidydJQBYrutjjTZ
2026-09-23T18:21:54.614Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,932,0,932,80333,283,283,False,74,81267,0.029191,tool_use,True,3,Bash,153,401,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqSEw8RARvWZLiKM1wL,req_011CfLqSEPPNuE9c8Gvwxrqp
2026-09-23T18:21:58.820Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,355,0,355,81265,158,158,False,0,81622,0.022261,tool_use,True,1,Bash,0,216,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqSaLh1WwUrgHJrX1Ja,req_011CfLqSZpBw1BWsYZBKJVgj
2026-09-23T18:22:01.533Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,815,0,815,81620,266,266,False,79,82437,0.028172,tool_use,True,3,Bash,94,302,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqSnK2A1Saw8Z9RL9DM,req_011CfLqSmkY9zEPtuBXk9DJK
2026-09-23T18:22:14.278Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,319,0,319,82435,1212,1212,False,242,82756,0.043287,end_turn,True,2,,2314,2314,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqT3gjR57kAsLbmksU2,req_011CfLqT34neysPkbENwRBCk
2026-09-23T18:24:38.511Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1244,0,1244,82754,455,455,False,229,84000,0.035611,tool_use,True,2,Bash,0,350,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqeFJHydtZbWZzRwstb,req_011CfLqeEEoZpzy945HhtwaV
2026-09-23T18:24:47.594Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,1056,0,1056,83998,521,521,False,155,85056,0.035676,end_turn,True,2,,879,879,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqejgMZ2JTZ47jr1BJ1,req_011CfLqejD5Ptgxk6HZ2UhvD
2026-09-23T18:25:02.482Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,4,104,0,104,85575,236,236,False,77,85683,0.022683,end_turn,True,2,,411,411,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqg9nU7VDjoJiuuKDiB,req_011CfLqg96YJpXFzgWi7gyk1
2026-09-23T18:25:38.010Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,28,0,28,85917,224,224,False,0,85947,0.021895,tool_use,True,1,Bash,0,311,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqigXD9RgMfLdtcSCUp,req_011CfLqifbuDRJNuHXxKqezo
2026-09-23T18:26:22.958Z,7a3dcc98-d8ad-4025-bada-45cbe600c6cd,main,,claude-opus-5-5,medium,2,672,0,672,85945,617,617,False,185,86619,0.034913,tool_use,True,3,Bash,147,684,master,/Users/tmov/repos/cryoport/tictactoe/frontend,msg_011CfLqmxP32csNJFYBMmw8u,req_011CfLqmwvVTtKywe2YWB9JK
2026-09-23T18:27:40.510Z,6d540bc9-87bf-40b6-99be-1bd3f8b5101b,main,,claude-opus-5-5,medium,2,18568,0,18568,27209,641,641,False,386,45779,0.166814,tool_use,True,3,Read|Bash,0,316,master,/Users/tmov/repos/cryoport/tictactoe/tictactoe,msg_011CfLqsZkRcDhxMGzudAXd4,req_011CfLqsZCvkWTeEQ916yPpt
2026-09-23T18:27:45.774Z,6d540bc9-87bf-40b6-99be-1bd3f8b5101b,main,,claude-opus-5-5,medium,2,21683,0,21683,45777,308,308,False,68,67462,0.188787,tool_use,True,2,Bash,0,382,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLqt8D3G2oZbUAZNooJL,req_011CfLqt7BnKtE62WEkodxEy
2026-09-23T18:27:52.325Z,6d540bc9-87bf-40b6-99be-1bd3f8b5101b,main,,claude-opus-5-5,medium,2,2511,0,2511,67460,994,994,False,373,69973,0.053468,tool_use,True,2,AskUserQuestion,0,1724,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLqtRoxr3kGWbYP9uedU,req_011CfLqtRNR926rABkLG4XXz
2026-09-23T18:28:42.140Z,6d540bc9-87bf-40b6-99be-1bd3f8b5101b,main,,claude-opus-5-5,medium,2,1187,0,1187,69971,3319,3319,False,1078,71160,0.089878,tool_use,True,2,Write,0,5112,master,/Users/tmov/repos/cryoport/tictactoe,msg_011CfLqwc6fnhDUcC4m9UXLK,req_011CfLqwbYBQ3FEgZ2EbYhUt
